[871326]: 5213ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxUspConnection' as '792041254'
[871326]: 5214ms SPX_TRACE_INFO:  usp_connection.cpp:473 Microsoft::CognitiveServices::Speech::USP::CSpxUspConnection::Connect: entering...
[871326]: 5214ms SPX_TRACE_INFO:  usp_connection.cpp:490 Adding subscription key headers
[871326]: 5214ms SPX_TRACE_INFO:  usp_connection.cpp:525 Set a user defined HTTP header 'User-agent':'SpeechSDK-Python/1.31.0 Windows Client 10'
[871326]: 5214ms SPX_TRACE_INFO:  usp_connection.cpp:540 connectionUrl=wss://westeurope.stt.speech.microsoft.com/speech/recognition/conversation/cognitiveservices/v1?endSilenceTimeoutMs=3000&initialSilenceTimeoutMs=3000&language=en-US
[871326]: 5214ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxTelemetry' as '151041793'
[871326]: 5214ms SPX_DBG_TRACE_SCOPE_ENTER:  web_socket.cpp:216 CSpxWebSocket::CSpxWebSocket
[871326]: 5214ms SPX_DBG_TRACE_SCOPE_EXIT:  web_socket.cpp:216 CSpxWebSocket::CSpxWebSocket
[871326]: 5214ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxWebSocket' as '482598724'
[871326]: 5214ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:31 WebSocketAdapter::UwsWebSocket::UwsWebSocket
[871326]: 5214ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:31 WebSocketAdapter::UwsWebSocket::UwsWebSocket
[871326]: 5214ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:43 WebSocketAdapter::UwsWebSocket::Initialize
[871326]: 5214ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:43 WebSocketAdapter::UwsWebSocket::Initialize
[871326]: 5214ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:221 WebSocketAdapter::UwsWebSocket::SetRequestHeader
[871326]: 5214ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:221 WebSocketAdapter::UwsWebSocket::SetRequestHeader
[871326]: 5214ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:221 WebSocketAdapter::UwsWebSocket::SetRequestHeader
[871326]: 5214ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:221 WebSocketAdapter::UwsWebSocket::SetRequestHeader
[871326]: 5214ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:221 WebSocketAdapter::UwsWebSocket::SetRequestHeader
[871326]: 5214ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:221 WebSocketAdapter::UwsWebSocket::SetRequestHeader
[871326]: 5214ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxPropertyBagImpl::SetStringValue: this=0x0000024A1F96BB88; name='SPEECH-ConnectionUrl'; value='wss://westeurope.stt.speech.microsoft.com/speech/recognition/conversation/cognitiveservices/v1?endSilenceTimeoutMs=3000&initialSilenceTimeoutMs=3000&language=en-US'
[871326]: 5214ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:1129 speech.config {"context":{"system":{"version":"1.31.0","name":"SpeechSDK","build":"Windows-x64","lang":"Python"},"os":{"name":"Client","version":"10","platform":"Windows"},"audio":{"source":{"type":"Microphones","model":"Microphone (Realtek(R) Audio)","samplerate":"16000","bitspersample":"16","channelcount":"1"}}}}
[871326]: 5214ms SPX_TRACE_INFO:  usp_connection.cpp:775 Create requestId  for messageType 0
[871326]: 5214ms SPX_DBG_TRACE_SCOPE_EXIT:  usp_reco_engine_adapter.cpp:219 CSpxUspRecoEngineAdapter::SetFormat
[871326]: 5214ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:3284 CSpxAudioStreamSession::InformAdapterSetFormatStarting
[871326]: 5214ms SPX_TRACE_INFO:  web_socket.cpp:800 CSpxWebSocket::DoWork: open transport.
[871326]: 5214ms SPX_TRACE_INFO:  web_socket.cpp:479 Start to open websocket. WebSocket: 0x1f92de20, wsio handle: 0x3cefe670
[871326]: 5214ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:149 WebSocketAdapter::UwsWebSocket::Open
[40947]: 5321ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxBufferProperties' as '809583448'
[40947]: 5321ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxReadWriteRingBuffer' as '956428994'
[40947]: 5321ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxReadWriteRingBuffer' as '956428994'
[40947]: 5321ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:534 Received audio chunk: time: 2025-08-29T13:16:41.7512238Z, size:3200.
[40947]: 5321ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:548 CSpxAudioStreamSession::ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
